site	year	rep	specie	Date
4	4	2	3	39
5	4	2	3	39
6	4	2	3	39
7	4	2	3	39
8	4	2	3	39
9	4	2	3	39
10	4	2	3	39
11	4	2	3	39
12	4	2	3	39
13	4	2	3	39
14	4	2	3	39
15	4	2	3	39
16	4	2	3	39
17	4	2	3	39
18	4	2	3	39
19	4	2	3	39
1	5	2	3	25
2	5	2	3	25
3	5	2	3	25
4	5	2	3	25
5	5	2	3	25
6	5	2	3	25
7	5	2	3	25
8	5	2	3	25
9	5	2	3	25
10	5	2	3	25
11	5	2	3	25
12	5	2	3	25
13	5	2	3	25
14	5	2	3	25
15	5	2	3	25
16	5	2	3	25
17	5	2	3	25
18	5	2	3	25
19	5	2	3	25
1	6	2	3	31
2	6	2	3	31
3	6	2	3	31
4	6	2	3	31
5	6	2	3	31
6	6	2	3	31
7	6	2	3	31
8	6	2	3	31
9	6	2	3	31
10	6	2	3	31
11	6	2	3	31
12	6	2	3	31
13	6	2	3	31
14	6	2	3	31
15	6	2	3	31
16	6	2	3	31
17	6	2	3	31
18	6	2	3	31
19	6	2	3	31
1	7	2	3	29
2	7	2	3	29
3	7	2	3	29
4	7	2	3	29
5	7	2	3	29
6	7	2	3	29
7	7	2	3	29
8	7	2	3	29
9	7	2	3	29
10	7	2	3	29
11	7	2	3	29
12	7	2	3	29
13	7	2	3	29
14	7	2	3	29
15	7	2	3	29
16	7	2	3	29
17	7	2	3	29
18	7	2	3	29
19	7	2	3	29
1	8	2	3	25
2	8	2	3	25
3	8	2	3	25
4	8	2	3	25
5	8	2	3	25
6	8	2	3	25
7	8	2	3	25
8	8	2	3	25
9	8	2	3	25
10	8	2	3	25
11	8	2	3	25
12	8	2	3	25
13	8	2	3	25
14	8	2	3	25
15	8	2	3	25
16	8	2	3	25
17	8	2	3	25
18	8	2	3	25
19	8	2	3	25
1	9	2	3	17
2	9	2	3	17
3	9	2	3	17
4	9	2	3	17
5	9	2	3	17
6	9	2	3	17
7	9	2	3	17
8	9	2	3	17
9	9	2	3	17
10	9	2	3	17
11	9	2	3	17
12	9	2	3	17
13	9	2	3	17
14	9	2	3	17
15	9	2	3	17
16	9	2	3	17
17	9	2	3	17
18	9	2	3	17
19	9	2	3	17
1	10	2	3	23
2	10	2	3	23
3	10	2	3	23
4	10	2	3	23
5	10	2	3	23
6	10	2	3	23
7	10	2	3	23
8	10	2	3	23
9	10	2	3	23
10	10	2	3	23
11	10	2	3	23
12	10	2	3	23
13	10	2	3	23
14	10	2	3	23
15	10	2	3	23
16	10	2	3	23
17	10	2	3	23
18	10	2	3	23
19	10	2	3	23
1	11	2	3	28
2	11	2	3	28
3	11	2	3	28
4	11	2	3	28
5	11	2	3	28
6	11	2	3	28
7	11	2	3	28
8	11	2	3	28
9	11	2	3	28
10	11	2	3	28
11	11	2	3	28
12	11	2	3	28
13	11	2	3	28
14	11	2	3	28
15	11	2	3	28
16	11	2	3	28
17	11	2	3	28
18	11	2	3	28
19	11	2	3	28
1	12	2	3	56
2	12	2	3	56
3	12	2	3	56
4	12	2	3	56
5	12	2	3	56
6	12	2	3	56
7	12	2	3	56
8	12	2	3	56
9	12	2	3	56
10	12	2	3	56
11	12	2	3	56
12	12	2	3	56
13	12	2	3	56
14	12	2	3	56
15	12	2	3	56
16	12	2	3	56
17	12	2	3	56
18	12	2	3	56
19	12	2	3	56
1	1	1	4	42
2	1	1	4	42
3	1	1	4	42
4	1	1	4	42
5	1	1	4	42
6	1	1	4	42
7	1	1	4	42
8	1	1	4	42
9	1	1	4	42
10	1	1	4	42
11	1	1	4	42
12	1	1	4	42
13	1	1	4	42
14	1	1	4	42
15	1	1	4	42
16	1	1	4	42
17	1	1	4	42
18	1	1	4	42
19	1	1	4	42
1	2	1	4	41
2	2	1	4	41
3	2	1	4	41
4	2	1	4	41
5	2	1	4	41
